ts,gpu%,gpu_mem,cpu%,ram_mb
19:20:59,27,88,6.6,
19:21:29,32,287,6.1,
19:21:59,32,287,6.0,
19:22:29,46,287,5.7,
19:23:00,33,287,9.3,
19:23:30,33,287,5.3,
19:24:00,33,287,6.2,
19:24:30,35,287,7.6,
19:25:01,28,287,5.8,
19:25:31,31,287,5.3,
19:26:01,31,287,6.2,
19:26:31,32,287,5.8,
19:27:02,32,287,5.8,
19:27:32,30,287,6.0,
19:28:02,36,287,6.5,
19:28:32,28,287,5.8,
19:29:03,48,287,6.1,
19:29:33,32,287,7.5,
19:30:03,32,287,5.2,
19:30:33,34,287,5.8,
19:31:04,34,287,6.0,
19:31:34,31,287,6.7,
19:32:04,31,287,5.8,
19:32:34,36,287,7.2,
19:33:04,30,287,6.2,
19:33:35,33,287,6.3,
19:34:05,35,287,6.3,
19:34:35,32,287,5.7,
19:35:05,32,287,5.7,
19:35:36,31,287,8.2,
19:36:06,29,287,5.7,
19:36:36,27,287,6.1,
19:37:06,44,287,5.8,
19:37:37,32,287,6.1,
19:38:07,30,287,5.8,
19:38:37,27,287,5.4,
19:39:07,27,287,6.2,
19:39:38,35,287,7.5,
19:40:08,27,287,7.9,
19:40:38,29,287,7.7,
19:41:08,27,287,7.3,
19:41:39,35,287,6.2,
19:42:09,32,287,5.8,
19:42:39,31,287,5.6,
19:43:09,50,287,5.4,
19:43:40,26,287,6.2,
19:44:10,30,287,6.7,
19:44:40,30,287,6.7,
19:45:10,27,287,6.8,
19:45:40,30,287,5.8,
19:46:11,32,287,5.8,
19:46:41,28,287,6.1,
19:47:11,31,287,6.1,
19:47:41,29,287,6.6,
19:48:12,31,287,6.5,
19:48:42,30,287,5.8,
19:49:12,44,287,5.3,
19:49:42,33,287,7.7,
19:50:13,31,287,6.3,
19:50:43,58,287,6.8,
19:51:13,27,287,9.2,
19:51:43,28,287,6.2,
19:52:14,49,287,6.1,
19:52:44,27,287,6.4,
19:53:14,35,287,6.1,
19:53:44,31,287,5.7,
19:54:15,31,287,7.9,
19:54:45,31,287,6.1,
19:55:15,31,287,5.7,
19:55:45,31,287,5.8,
19:56:15,30,287,5.7,
19:56:46,35,287,6.3,
19:57:16,30,287,6.8,
19:57:46,33,287,6.7,
19:58:16,32,287,6.1,
19:58:47,31,287,10.1,
